vacuum_bond_dimension,momentum,eigenvalue_index,energy,eigen_residual,residual_converged,vacuum_gradient_residual
16,0.0,1,0.25484590794777945,2.091328484869437e-11,true,9.400832934044839e-11
16,0.0,2,0.5059769337938421,2.6153218882724215e-11,true,9.400832934044839e-11
16,0.0,3,0.6433339063114619,8.313411306423555e-10,true,9.400832934044839e-11
24,0.0,1,0.2548454965497124,1.5153040179187465e-11,true,7.849177829369417e-11
24,0.0,2,0.500243072720923,3.754139057364608e-11,true,7.849177829369417e-11
24,0.0,3,0.5797108520932118,8.209253639022124e-10,true,7.849177829369417e-11
32,0.0,1,0.25484549315960553,2.8262230624292336e-11,true,8.222461838668242e-11
32,0.0,2,0.49948594765474297,6.861614950336243e-11,true,8.222461838668242e-11
32,0.0,3,0.5672879818261134,7.372985399710239e-10,true,8.222461838668242e-11
16,0.025,1,0.25998905033111547,2.3705050043519e-11,true,9.400832934044839e-11
16,0.025,2,0.5085818815316073,2.662474864003642e-11,true,9.400832934044839e-11
16,0.025,3,0.6453692758266846,7.484630831920355e-10,true,9.400832934044839e-11
16,0.05,1,0.27483915201631687,2.2903089197236302e-11,true,9.400832934044839e-11
16,0.05,2,0.5163173847086923,3.221097076662409e-11,true,9.400832934044839e-11
16,0.05,3,0.6514372679776606,6.850220125346366e-10,true,9.400832934044839e-11
16,0.075,1,0.29794148829520173,2.4137728764428837e-11,true,9.400832934044839e-11
16,0.075,2,0.5289569094526031,2.816276311216843e-11,true,9.400832934044839e-11
16,0.075,3,0.6614268768767841,5.093010508409914e-10,true,9.400832934044839e-11
16,0.095,1,0.32118492189408615,2.4579197375368438e-11,true,9.400832934044839e-11
16,0.095,2,0.5423718503420212,2.712002146162367e-11,true,9.400832934044839e-11
16,0.095,3,0.6721266549248439,5.841958375563717e-10,true,9.400832934044839e-11
16,0.1,1,0.3275442625945898,2.2983803483410227e-11,true,9.400832934044839e-11
16,0.1,2,0.5461575205939965,3.800995486175529e-11,true,9.400832934044839e-11
16,0.1,3,0.6751635916416089,6.230301786731553e-10,true,9.400832934044839e-11
16,0.15,1,0.4001592983107502,1.891216132289508e-11,true,9.400832934044839e-11
16,0.15,2,0.5925348405728553,2.4720621287030994e-11,true,9.400832934044839e-11
16,0.15,3,0.712946975101778,6.930140149149408e-10,true,9.400832934044839e-11
16,0.19,1,0.4663874581358134,2.1440966073892834e-11,true,9.400832934044839e-11
16,0.19,2,0.6391452027463947,3.1566949232546944e-11,true,9.400832934044839e-11
16,0.19,3,0.7518816241126864,7.449562947446571e-10,true,9.400832934044839e-11
16,0.2,1,0.483688868225056,1.879831088799138e-11,true,9.400832934044839e-11
16,0.2,2,0.6518895220083529,6.353450706414032e-11,true,9.400832934044839e-11
16,0.2,3,0.7626751353846941,6.020107925153949e-10,true,9.400832934044839e-11
16,0.225,1,0.5279133034613609,1.517072007557758e-11,true,9.400832934044839e-11
16,0.225,2,0.6853924250309633,2.3445695627405215e-11,true,9.400832934044839e-11
16,0.225,3,0.7913215888116298,7.561346028911724e-10,true,9.400832934044839e-11
16,0.285,1,0.6381006788117453,1.5227563921131105e-11,true,9.400832934044839e-11
16,0.285,2,0.7736998119260201,1.2772614152316461e-11,true,9.400832934044839e-11
16,0.285,3,0.868455342212212,9.563724528376915e-10,true,9.400832934044839e-11
16,0.3,1,0.6662704409929252,1.086886814101117e-11,true,9.400832934044839e-11
